uf,nome,regiao,meio_envio,obs
AC,Acre,Norte,BNBO,
AL,Alagoas,Nordeste,BNBO,
AM,Amazonas,Norte,BNBO,
AP,Amapá,Norte,BNBO,
BA,Bahia,Nordeste,BNBO,
CE,Ceará,Nordeste,Planilha,
DF,Distrito Federal,Centro-Oeste,Ambos,
ES,Espírito Santo,Sudeste,Planilha,
GO,Goiás,Centro-Oeste,Ambos,
MA,Maranhão,Nordeste,BNBO,
MG,Minas Gerais,Sudeste,Planilha,
MS,Mato Grosso do Sul,Centro-Oeste,Ambos,
MT,Mato Grosso,Centro-Oeste,Planilha,
PA,Pará,Norte,Planilha,
PB,Paraíba,Nordeste,Planilha,
PE,Pernambuco,Nordeste,Planilha,
PI,Piauí,Nordeste,BNBO,
PR,Paraná,Sul,Ambos,
RJ,Rio de Janeiro,Sudeste,Ambos,
RN,Rio Grande do Norte,Nordeste,BNBO,
RO,Rondônia,Norte,BNBO,
RR,Roraima,Norte,BNBO,
RS,Rio Grande do Sul,Sul,Ambos,
SC,Santa Catarina,Sul,Planilha,
SE,Sergipe,Nordeste,BNBO,
SP,São Paulo,Sudeste,Planilha,
TO,Tocantins,Norte,BNBO,
